-0.9590,-0.2254,3.454,2.826
-1.9171,-0.4351,3.454,2.826
-2.8777,-0.6571,3.454,2.826
-3.8316,-0.8919,3.454,2.826
-4.7808,-1.1405,3.454,2.826
-5.7279,-1.4027,3.454,2.826
-6.6690,-1.6776,3.454,2.826
-7.6062,-1.9658,3.454,2.826
-8.5354,-2.2660,3.454,2.826
-9.4678,-2.5818,3.454,2.826
-10.3965,-2.9110,3.454,2.826
-11.3165,-3.2519,3.454,2.826
-12.2321,-3.6059,3.140,3.140
-13.1464,-3.9602,3.140,3.140
-14.0632,-4.3161,3.140,3.140
-14.9791,-4.6715,3.140,3.140
-15.8979,-5.0279,3.140,3.140
-16.8103,-5.3818,3.140,3.140
-17.7281,-5.7377,3.140,3.140
-18.6429,-6.0925,2.826,3.454
-19.5666,-6.4365,2.826,3.454
-20.4915,-6.7669,2.826,3.454
-21.4210,-7.0840,2.826,3.454
-22.3501,-7.3864,2.826,3.454
-23.2882,-7.6771,2.826,3.454
-24.2210,-7.9517,2.826,3.454
-25.1639,-8.2148,2.826,3.454
-26.1107,-8.4647,2.826,3.454
-27.0699,-8.7033,2.826,3.454
-27.9933,-9.0467,2.826,3.454
-28.9492,-9.2613,2.826,3.454
-29.9272,-9.3924,2.826,3.454
-30.8763,-9.6490,2.826,3.454
-31.8414,-9.8220,2.826,3.454
-32.8082,-9.9818,2.826,3.454
-33.7765,-10.1290,2.826,3.454
-34.7522,-10.2741,2.826,3.454
-35.7263,-10.4047,2.826,3.454
-36.6992,-10.5210,2.826,3.454
-37.6747,-10.6235,2.826,3.454
-38.6488,-10.7118,2.826,3.454
-39.6261,-10.7865,2.826,3.454
-40.5991,-10.8470,2.826,3.454
-41.5770,-10.8939,2.826,3.454
-42.5628,-10.9273,2.826,3.454
-43.5420,-10.9466,2.826,3.454
-44.5245,-10.9521,2.826,3.454
-45.5064,-10.9440,2.826,3.454
-46.4896,-10.9235,2.826,3.454
-47.4707,-10.8898,2.826,3.454
-48.4445,-10.8429,2.826,3.454
-49.4239,-10.7819,2.826,3.454
-50.3972,-10.7077,2.826,3.454
-51.3731,-10.6194,2.826,3.454
-52.3496,-10.5172,2.826,3.454
-53.3221,-10.4016,2.826,3.454
-54.2920,-10.2723,2.826,3.454
-55.2669,-10.1284,2.826,3.454
-56.2288,-9.9725,2.826,3.454
-57.1942,-9.8020,2.826,3.454
-58.1568,-9.6179,2.826,3.454
-59.1146,-9.4207,2.826,3.454
-60.0716,-9.2095,2.826,3.454
-61.0288,-8.9841,2.826,3.454
-61.9782,-8.7463,2.826,3.454
-62.9264,-8.4945,2.826,3.454
-63.8688,-8.2299,2.826,3.454
-64.8067,-7.9523,3.454,2.826
-65.7534,-7.6851,3.454,2.826
-66.6986,-7.4315,3.454,2.826
-67.6474,-7.1914,2.826,3.454
-68.5973,-6.9385,2.826,3.454
-69.5458,-6.6731,2.826,3.454
-70.4832,-6.3962,2.826,3.454
-71.4167,-6.1059,2.826,3.454
-72.3477,-5.8018,2.826,3.454
-73.2702,-5.4860,2.826,3.454
-74.1968,-5.1540,2.826,3.454
-75.1149,-4.8104,2.826,3.454
-76.0299,-4.4532,2.826,3.454
-76.9380,-4.0838,2.826,3.454
-77.8419,-3.7011,2.826,3.454
